t,lot,price,diff,time
2016-10-05T00:00:00.000000000,Broad Street,10.00106070153329,1,1752076213960
2016-10-05T00:00:00.000000000,BHMNCPHST01,10.000376388888888,1,1752076213960
2016-10-05T00:00:00.000000000,BHMEURBRD01,10.001570846536895,1,1752076213960
2016-10-05T00:00:00.000000000,BHMNCPNST01,10.000561164842173,1,1752076213960
2016-10-05T00:00:00.000000000,Others-CCCPS202,10.000098539653921,1,1752076213960
2016-10-05T00:00:00.000000000,Others-CCCPS105a,10.000192017950086,1,1752076213960
2016-10-05T00:00:00.000000000,BHMMBMMBX01,10.000819969108141,1,1752076213960
2016-10-05T00:00:00.000000000,Others-CCCPS8,10.00022372465503,1,1752076213960
2016-10-05T00:00:00.000000000,Others-CCCPS98,10.000073634727508,1,1752076213960
2016-10-05T00:00:00.000000000,BHMBCCMKT01,10.000624757831249,1,1752076213960
2016-10-05T00:00:00.000000000,Others-CCCPS135a,10.000143921260081,1,1752076213960
2016-10-05T00:00:00.000000000,Others-CCCPS119a,10.000052184035528,1,1752076213960
2016-10-05T00:00:00.000000000,BHMBCCTHL01,10.001428867122035,1,1752076213960
2016-10-05T00:00:00.000000000,Shopping,10.0002294921875,1,1752076213960
2016-10-06T00:00:00.000000000,BHMEURBRD01,10.001484834766863,1,1752076216750
2016-10-06T00:00:00.000000000,Shopping,10.000228949652778,1,1752076216750
2016-10-06T00:00:00.000000000,BHMNCPHST01,10.000381944444445,1,1752076216750
2016-10-06T00:00:00.000000000,Broad Street,10.001027095148078,1,1752076216750
2016-10-06T00:00:00.000000000,Others-CCCPS8,10.000213997496115,1,1752076216750
2016-10-06T00:00:00.000000000,BHMNCPNST01,10.000459134870868,1,1752076216750
2016-10-06T00:00:00.000000000,Others-CCCPS105a,10.000187062648148,1,1752076216750
2016-10-06T00:00:00.000000000,Others-CCCPS202,10.000091815771654,1,1752076216750
2016-10-06T00:00:00.000000000,Others-CCCPS119a,10.00004543829435,1,1752076216750
2016-10-06T00:00:00.000000000,Others-CCCPS98,10.000065326154587,1,1752076216750
2016-10-06T00:00:00.000000000,BHMMBMMBX01,10.00080725640879,1,1752076216750
2016-10-06T00:00:00.000000000,BHMBCCTHL01,10.00132871288451,1,1752076216750
2016-10-06T00:00:00.000000000,BHMBCCMKT01,10.000387470001112,1,1752076216750
2016-10-06T00:00:00.000000000,Others-CCCPS135a,10.00013987554724,1,1752076216750
2016-10-07T00:00:00.000000000,Others-CCCPS98,10.000061379582451,1,1752076219530
2016-10-07T00:00:00.000000000,BHMMBMMBX01,10.000641991317226,1,1752076219530
2016-10-07T00:00:00.000000000,Others-CCCPS8,10.000218002796844,1,1752076219530
